Date,TransactionID,TransactionAmt,suspicious
2020-02-06,3007640,0.48,"Suspicious Activity Detected for this transaction, payment through: visa where ProductCD is C, M4 is M0 and id_38 is F"
2020-02-11,3028932,0.42,"Suspicious Activity Detected for this transaction, payment through: visa where ProductCD is C, M4 is M0 and id_38 is F"
2020-02-15,3043129,31.19,"Suspicious Activity Detected for this transaction, payment through: visa where ProductCD is C, M4 is M0 and V187 is 2"
2020-04-04,3221263,34.1,"Suspicious Activity Detected for this transaction, payment through: visa where ProductCD is C, M4 is M0 and id_15 is Found"
2020-05-06,3326941,31.42,"Suspicious Activity Detected for this transaction, payment through: visa where id_38 is F, ProductCD is C and id_13 is 52"
2020-05-08,3331989,41.57,"Suspicious Activity Detected for this transaction, payment through: visa where id_38 is F,V271 is 0 and V260 is 1"
2020-06-08,3427921,140.42,"Suspicious Activity Detected for this transaction, payment through: mastercard where M4 is M0, V23 is 1 and V30 is 0"
2020-07-14,3529730,0.59,"Suspicious Activity Detected for this transaction, payment through: mastercard where M4 is M0, ProductCD is C and M9 is T"
2020-07-31,3577410,25.0,"Suspicious Activity Detected for this transaction, payment through: visa where ProductCD is H,id_38 is T and id_15 New"
2020-07-31,3577451,200.0,"Suspicious Activity Detected for this transaction, payment through: american express where ProductCD is R, id_16 is NotFound and id_38 is F"
